SaleID,Date,Branch,Category,Product,Quantity,UnitPrice,TotalSales,PaymentMethod
52791,6/11/2026,,Groceries,Thousand,10,,,M-Pesa
51222,10/24/2025,nakuru,groceries,Stuff,50,250,12500,Card
50816,18-06-2026,Mombasa,Household,Skin,1,10000,10000,Card
50765,7/12/2024,,Snacks,Quality,1,100,100,Cash
53334,22-10-1977,,Groceries,National,10,1000,10000,Card
51145,9/12/2025,,groceries,Author,,1000,,Cash
50116,3/13/2026,Nairobi,groceries,Model,,50,,cash
53374,9/22/2024,nakuru,Personal Care,Stage,20,250,5000,Card
50097,8/16/2025,,Snacks,Indeed,50,,,M-Pesa
50003,1/29/2026, Kisumu ,Household,Response,20,500,10000,Cash
53934,3/31/2026, Kisumu ,Household,Everything,10,50,500,cash
51617,1/12/2026,,Household,Region,1,50,50,Cash
52277,5/8/2025,Nairobi,groceries,Consider,1,500,500,Cash
50515,14-03-1995,nakuru,Snacks,During,50,500,25000,M-Pesa
51868,13-08-1998, Kisumu ,Beverages,How,1,50,50,Cash
50618,5/11/2012,nakuru,Beverages,Budget,20,50,1000,cash
52658,2/17/2025,,Personal Care,Model,1,500,500,Cash
51556,1/5/2023,,Household,Few,10,100,1000,M-Pesa
50056,7/19/2025,nakuru,Groceries,Job,1,50,50,Cash
51426,25-09-1997, Kisumu ,Beverages,Soon,2,250,500,Cash
51030,7/21/2025,Mombasa,groceries,Happy,20,500,10000,Card
52344,9/1/2024,Nairobi,Personal Care,Force,10,2000,20000,Cash
53188,7/31/2024,Mombasa,groceries,Direction,,,,cash
50915,3/4/2018,Nairobi,Household,Night,2,1000,2000,Cash
53230,1/28/2025, Kisumu ,Groceries,Herself,5,1000,5000,Cash
51544,27-03-2018,,Household,Side,1,250,250,Cash
50523,12/6/2025,,groceries,Individual,20,50,1000,cash
50963,7/7/2025,nakuru,Groceries,Move,1,2000,2000,cash
53011,10/15/2024,Nairobi,groceries,Buy,1,2000,2000,cash
53191,20-10-2008,Mombasa,Personal Care,Material,1,250,250,cash
53436,5/30/2026,nakuru,Household,Direction,10,1000,10000,Cash
50389,10/7/2025,,Household,Lot,10,250,2500,Card
50179,5/20/2025,,groceries,Between,20,10000,200000,M-Pesa
53345,5/7/1978,nakuru,Household,Camera,2,500,1000,Card
51719,10/1/1973,nakuru,Personal Care,Around,,2000,,cash
52202,9/25/2024,nakuru,Groceries,Light,5,,,Card
51180,4/5/2025,,Personal Care,Similar,2,,,Cash
51929,6/21/2024, Kisumu ,Beverages,Behind,50,,,Cash
53982,27-01-2022, Kisumu ,groceries,Entire,1,50,50,Cash
51625,12/3/1987,nakuru,Groceries,Measure,2,10000,20000,M-Pesa
50645,8/4/1987,,Groceries,Attorney,20,2000,40000,cash
52043,1/27/2026,,Beverages,Protect,,50,,Card
50273,2/18/2026, Kisumu ,groceries,Dinner,5,10000,50000,Cash
50582,4/7/2026,Nairobi,Personal Care,Tend,,250,,Card
52929,4/9/2022,,Household,American,50,500,25000,Card
50703,7/22/2024,Mombasa,Beverages,Couple,2,10000,20000,cash
51955,1/29/2025,Nairobi,Snacks,Bar,,250,,cash
51374,3/18/2025,Nairobi,Groceries,Shake,10,1000,10000,Card
51459,5/13/2025,Nairobi,Household,Affect,5,2000,10000,Card
50141,7/11/2025,,Personal Care,View,,2000,,Card
53738,30-04-1997,Mombasa,Personal Care,Land,2,10000,20000,M-Pesa
52118,1/15/2025,Nairobi,Personal Care,Back,5,500,2500,cash
53277,11/12/2025,nakuru,Personal Care,On,1,100,100,cash
52692,1/2/2026,nakuru,Beverages,Her,5,,,M-Pesa
51677,23-10-1977,nakuru,Beverages,Play,20,2000,40000,Card
51651,11/22/2024,Nairobi,Household,Bad,5,100,500,Cash
51018,9/3/2024,Mombasa,Personal Care,Even,2,2000,4000,Cash
52410,1/3/2025,,Household,Indicate,20,500,10000,M-Pesa
53840,13-08-1995,Nairobi,Groceries,Serious,20,100,2000,cash
53244,7/23/2025,,Beverages,Her,20,2000,40000,cash
50707,18-01-1987,Mombasa,Snacks,Because,,500,,Cash
51275,20-03-1994,nakuru,Groceries,Film,2,10000,20000,Cash
52199,7/5/2024, Kisumu ,Household,Recognize,20,100,2000,Cash
51698,23-11-2019, Kisumu ,Beverages,Window,50,10000,500000,M-Pesa
50436,25-01-2011, Kisumu ,Personal Care,Role,20,250,5000,cash
50264,10/24/2024, Kisumu ,Groceries,New,5,100,500,Card
52345,10/12/2001,,Beverages,Bank,2,50,100,cash
51295,28-01-1975, Kisumu ,Household,Forget,5,1000,5000,Cash
50709,11/4/2015, Kisumu ,Groceries,Keep,1,,,Cash
52354,8/12/2025,Mombasa,Household,News,20,2000,40000,Card
53851,3/11/2026,,Personal Care,People,10,100,1000,cash
51155,23-07-1992,nakuru,Groceries,Personal,,100,,Cash
53777,9/1/1987,,Groceries,Entire,5,250,1250,Card
50282,18-09-1974,,groceries,Strong,,2000,,Card
51638,12/6/1977,,Household,Capital,50,100,5000,cash
53098,4/12/2026,,Beverages,Subject,50,100,5000,M-Pesa
53616,12/4/2025,Nairobi,groceries,Mind,20,500,10000,M-Pesa
52559,3/25/2025,Mombasa,Household,Share,5,,,cash
50534,4/10/2023,Nairobi,Groceries,Alone,5,1000,5000,Cash
53683,7/6/1994,,Household,Thought,10,250,2500,Card
53100,6/4/1995, Kisumu ,Groceries,System,5,250,1250,cash
51747,9/23/2025,Mombasa,Snacks,Around,,,,M-Pesa
52648,10/6/1996,Mombasa,Beverages,Really,1,250,250,Card
51267,6/21/2025,,groceries,Level,1,10000,10000,Card
51004,13-11-1973,nakuru,groceries,Old,1,50,50,cash
51204,9/21/2025,,Snacks,Several,20,250,5000,cash
51037,4/5/2006,,Beverages,Agreement,50,10000,500000,Card
51480,5/25/2026,Mombasa,Groceries,Year,1,1000,1000,cash
52603,8/23/2024,nakuru,Personal Care,Section,1,1000,1000,Card
53652,11/24/2024,Mombasa,Household,Word,20,1000,20000,Card
52614,16-03-2000,Nairobi,Personal Care,This,2,,,M-Pesa
52387,3/6/2009,,Personal Care,Where,2,,,cash
52697,10/24/2024,Mombasa,Snacks,Most,1,1000,1000,Card
53831,10/12/2018,nakuru,Snacks,Space,1,50,50,Card
53783,10/5/2024,,Beverages,Former,5,500,2500,M-Pesa
50533,1/8/1970,,groceries,Hundred,5,1000,5000,cash
51896,8/20/2025,nakuru,groceries,Million,50,100,5000,cash
51115,1/23/2025,nakuru,Household,This,10,500,5000,cash
51392,11/17/2024,,Personal Care,Hot,50,1000,50000,cash
50339,11/17/2025, Kisumu ,groceries,Receive,50,10000,500000,Card
53991,7/20/2024,nakuru,groceries,Foreign,10,500,5000,M-Pesa
51549,4/11/2009,,Snacks,Beyond,1,2000,2000,Card
50651,21-03-1986,Nairobi,Personal Care,Mr,20,10000,200000,cash
53192,2/2/1981, Kisumu ,Household,Summer,50,,,cash
52610,17-12-2008,,Personal Care,Series,2,10000,20000,Cash
53563,6/1/2025,,Beverages,Nation,1,100,100,Cash
53749,1/24/2026,,Personal Care,Reduce,10,,,Cash
53433,27-09-1973, Kisumu ,Snacks,Someone,20,2000,40000,cash
50058,3/20/2026,Nairobi,Personal Care,Evening,,2000,,M-Pesa
51845,3/7/2026, Kisumu ,Groceries,According,10,500,5000,Cash
50066,12/12/2025,Nairobi,Personal Care,Third,2,1000,2000,cash
51581,9/9/2025,,Personal Care,South,,,,cash
53856,4/11/2026,,Snacks,Money,,,,Card
51781,13-06-1996, Kisumu ,Beverages,Answer,50,1000,50000,cash
53275,16-10-2007,Mombasa,Beverages,South,5,250,1250,Cash
51038,2/7/2011,Mombasa,Snacks,Point,20,1000,20000,Card
52540,5/3/1997,nakuru,Personal Care,From,20,2000,40000,Cash
53646,3/9/2026,Mombasa,groceries,Senior,20,1000,20000,M-Pesa
50729,10/5/2025,nakuru,Personal Care,Least,20,2000,40000,M-Pesa
50651,4/21/2025,Nairobi,Groceries,Day,20,500,10000,Cash
53304,7/9/2008,Mombasa,Snacks,State,20,100,2000,Cash
50357,10/18/2025,Nairobi,Household,Board,50,,,cash
50235,2/23/2026, Kisumu ,Groceries,Toward,5,1000,5000,cash
50592,9/18/2025,nakuru,Groceries,Business,2,,,Cash
50781,2/17/2025, Kisumu ,Snacks,Chance,5,2000,10000,Cash
51794,9/23/2025,Nairobi,Snacks,Subject,2,10000,20000,Card
53182,12/9/2021,,Beverages,Treatment,1,250,250,Cash
50550,12/11/2024,nakuru,groceries,Nor,50,2000,100000,Cash
52657,23-07-2020, Kisumu ,Groceries,Include,20,2000,40000,cash
53232,12/23/2024,nakuru,Beverages,Forward,,1000,,cash
50590,16-04-2004, Kisumu ,Personal Care,Defense,2,,,cash
52542,5/1/2025,,Beverages,Soon,,2000,,M-Pesa
52481,15-01-1974,nakuru,Beverages,Church,10,500,5000,Card
51338,10/15/2025,,groceries,Recognize,20,2000,40000,Card
50567,9/15/2025, Kisumu ,groceries,Early,2,2000,4000,M-Pesa
51281,6/9/1989,,Beverages,Customer,,10000,,M-Pesa
52748,31-03-2012,nakuru,Groceries,Any,20,500,10000,M-Pesa
50182,4/5/2018,,Beverages,Week,10,50,500,Cash
51559,5/23/2025,Nairobi,groceries,Interest,10,,,cash
51765,22-12-1985,Nairobi,Personal Care,Worry,50,500,25000,M-Pesa
51634,12/6/1989,nakuru,Personal Care,Before,10,,,cash
51326,17-03-1984,Nairobi,groceries,Form,,1000,,cash
50879,26-03-2020,Nairobi,Beverages,Approach,,10000,,Cash
50796,3/9/2014,nakuru,Groceries,Adult,1,,,Cash
52923,28-11-1971,Mombasa,Snacks,Idea,10,1000,10000,Card
53928,7/29/2025,,Beverages,Likely,10,,,Cash
52334,23-09-1972,nakuru,Beverages,Chance,2,10000,20000,Card
51375,1/7/2010,,groceries,Meet,2,250,500,Cash
51512,3/11/2025,Nairobi,groceries,Language,10,2000,20000,Cash
50801,9/27/2024,,Household,Throw,5,100,500,Card
52288,11/27/2025,,Beverages,Up,10,2000,20000,cash
53204,11/6/2008,nakuru,Snacks,Watch,1,500,500,cash
51713,12/1/2024,,Personal Care,Watch,50,500,25000,cash
51137,7/21/2025,Mombasa,Groceries,Machine,2,250,500,cash
52592,7/27/2024, Kisumu ,Household,If,1,250,250,Cash
53530,18-05-2017,,groceries,Sister,,10000,,M-Pesa
51185,22-11-1996,nakuru,Groceries,Purpose,5,50,250,cash
53231,7/28/2024,Mombasa,groceries,Environmental,20,1000,20000,Card
51811,1/8/2002,Mombasa,Personal Care,Yourself,10,50,500,cash
52337,13-08-1973,Mombasa,Beverages,Physical,50,10000,500000,Card
53735,9/12/1999, Kisumu ,groceries,No,,1000,,cash
53253,29-08-2023, Kisumu ,Household,Heart,1,2000,2000,Card
50190,6/11/2018, Kisumu ,Snacks,Artist,1,1000,1000,cash
51437,8/7/2003, Kisumu ,groceries,Official,1,10000,10000,Card
53696,2/5/1978,,Groceries,Discover,5,1000,5000,Card
51640,7/1/1981,,Personal Care,Certainly,1,50,50,cash
50227,9/7/1975,,Beverages,Say,10,,,Card
50476,21-12-2021, Kisumu ,Snacks,His,,2000,,M-Pesa
51255,2/28/2025,nakuru,Beverages,On,10,250,2500,cash
50544,8/3/1974, Kisumu ,Personal Care,Spring,50,10000,500000,cash
51309,23-12-1973,,Snacks,Painting,5,,,M-Pesa
52916,31-05-1994, Kisumu ,Snacks,None,5,2000,10000,cash
52451,8/29/2025,,Snacks,Keep,10,10000,100000,cash
51460,11/2/1993,Mombasa,Beverages,Administration,,10000,,Cash
50399,10/23/2024,nakuru,Groceries,Short,10,1000,10000,Card
53204,19-10-2023,Nairobi,Groceries,Girl,1,,,Card
51086,1/9/2025,Mombasa,Beverages,Writer,1,500,500,M-Pesa
50516,2/23/2026, Kisumu ,groceries,Allow,2,,,M-Pesa
51089,20-11-2016,Nairobi,Household,Until,50,,,Card
50129,10/12/2024,Nairobi,Personal Care,Think,2,100,200,cash
52719,25-08-1975, Kisumu ,Personal Care,Save,,500,,Cash
50906,9/27/2025,,Snacks,Treat,10,10000,100000,Card
52313,1/24/2026, Kisumu ,Groceries,Change,10,500,5000,cash
51585,4/3/2026,,Groceries,Price,,,,Cash
52264,9/11/2024,nakuru,Groceries,And,1,,,M-Pesa
53204,2/5/2025,,Snacks,Mention,5,50,250,cash
52546,15-09-2025,Nairobi,Groceries,Study,10,250,2500,Cash
51900,3/22/2026,,Snacks,Including,10,,,M-Pesa
52451,12/9/2011,Nairobi,Personal Care,Side,5,50,250,M-Pesa
50330,6/13/2025,,groceries,College,1,500,500,cash
51961,5/5/2026,Mombasa,Household,Travel,1,100,100,Cash
51664,12/1/2024,,Personal Care,Various,,,,M-Pesa
51604,6/30/2024, Kisumu ,groceries,Avoid,1,250,250,Card
51011,16-09-2018,nakuru,Household,Structure,5,2000,10000,Cash
53523,30-03-2018,Mombasa,Household,Think,10,1000,10000,Card
51215,5/10/2026,nakuru,Beverages,Able,1,50,50,M-Pesa
51414,23-11-2004,Nairobi,Snacks,Security,50,10000,500000,Card
51804,20-11-2019,Mombasa,Snacks,Cause,20,1000,20000,Cash
50295,7/30/2025,Nairobi,Groceries,Republican,,2000,,Cash
51177,26-03-1976, Kisumu ,Personal Care,Less,,2000,,Card
50501,4/11/1982,,groceries,Fly,20,50,1000,Cash
53986,3/25/2025,,Personal Care,Face,,100,,M-Pesa
51340,2/1/2026,nakuru,Household,Nearly,10,1000,10000,Cash
50200,12/15/2025,nakuru,Snacks,Respond,,100,,M-Pesa
51834,6/12/1993, Kisumu ,Snacks,Lay,20,100,2000,M-Pesa
53432,10/26/2025,Nairobi,Personal Care,Piece,1,100,100,Card
51673,11/10/2016,Mombasa,Household,Education,20,250,5000,Cash
51542,4/14/2025, Kisumu ,groceries,Performance,5,2000,10000,Cash
51389,7/2/2025,nakuru,groceries,Cover,2,500,1000,cash
52671,8/2/2012, Kisumu ,Beverages,There,2,1000,2000,Card
53450,6/24/2025,,groceries,Likely,1,1000,1000,M-Pesa
51798,12/7/1974,,Personal Care,Memory,1,,,Cash
51603,6/10/1976,,Beverages,Them,10,2000,20000,Cash
52466,6/24/2025,Mombasa,Groceries,Tv,1,50,50,Card
51565,2/13/2025,,Snacks,Reason,2,50,100,cash
52859,19-05-2022, Kisumu ,groceries,Partner,20,,,Card
51557,5/6/2024, Kisumu ,groceries,Style,50,50,2500,cash
50003,6/26/2024,nakuru,Beverages,Million,10,50,500,Card
51666,4/16/2025,Mombasa,Household,Later,50,,,Cash
50236,8/13/2024,Mombasa,groceries,Effect,,50,,Card
52358,10/15/2025,Mombasa,Beverages,Seek,50,50,2500,M-Pesa
52464,22-12-2000,nakuru,Snacks,Now,50,500,25000,Cash
52936,7/20/2024, Kisumu ,Beverages,Case,5,500,2500,cash
53443,12/26/2024,,Beverages,Do,,,,Card
51024,12/2/2024,Nairobi,Household,Item,,250,,Card
53064,9/3/2025,Mombasa,Household,Board,5,10000,50000,M-Pesa
52584,9/16/2024, Kisumu ,Household,Best,50,,,Cash
53970,9/10/2001,nakuru,Household,Large,50,,,M-Pesa
53704,1/10/2026,,Household,Find,10,10000,100000,cash
52177,2/15/2026,Mombasa,groceries,Raise,20,50,1000,Cash
50700,5/28/2026,nakuru,Personal Care,Game,5,,,Card
51520,7/22/2024,Nairobi,Groceries,Week,,500,,cash
53468,24-08-2018,,Household,Investment,50,100,5000,M-Pesa
51401,3/3/2026,Nairobi,groceries,Senior,,50,,cash
53935,7/14/2024, Kisumu ,Beverages,Number,20,10000,200000,M-Pesa
50826,11/10/2024,,Snacks,Concern,10,,,Card
51614,7/1/2005,nakuru,Snacks,Can,2,250,500,cash
52285,10/9/2025,,Household,Nature,2,2000,4000,Card
51966,7/9/2015,,Beverages,Stay,5,250,1250,cash
52117,5/30/2025,,Beverages,Big,10,100,1000,Cash
53711,13-10-2007,,Household,Poor,2,100,200,M-Pesa
52267,14-02-2008,Mombasa,Personal Care,Board,2,10000,20000,M-Pesa
50323,21-07-1970, Kisumu ,Snacks,Nation,1,1000,1000,M-Pesa
53116,1/17/2025,Mombasa,Groceries,At,1,250,250,Card
53563,9/10/2002,Nairobi,Beverages,Customer,10,100,1000,Cash
52714,16-08-1989,,Beverages,Degree,,1000,,M-Pesa
53951,28-01-2015,,Beverages,Own,5,2000,10000,Card
51791,22-01-1990,,groceries,Save,5,,,M-Pesa
51313,8/6/2024,Nairobi,Groceries,Experience,5,,,Card
53248,2/8/2025, Kisumu ,Beverages,Easy,1,50,50,Card
50997,7/22/2024,,groceries,Trade,2,250,500,M-Pesa
53464,3/14/2026,nakuru,Household,Law,5,250,1250,cash
50901,6/27/2025,Mombasa,Beverages,How,10,2000,20000,cash
53715,11/18/2024, Kisumu ,Personal Care,Type,10,10000,100000,Cash
51830,3/8/2026,,Household,Write,20,250,5000,Card
52691,5/23/2026,Nairobi,Beverages,Appear,5,250,1250,M-Pesa
52596,11/20/2024,nakuru,Household,Soon,20,1000,20000,Card
51195,2/10/1984, Kisumu ,Groceries,Institution,2,250,500,cash
50337,2/4/2020, Kisumu ,Groceries,Phone,20,100,2000,cash
52479,10/13/2024,,Beverages,Word,2,500,1000,Cash
53184,4/30/2025,,Snacks,Skin,5,500,2500,Cash
52677,16-12-2007,,Snacks,Population,20,50,1000,M-Pesa
51227,1/1/2025,Nairobi,Beverages,Two,2,100,200,Cash
51232,9/2/2024, Kisumu ,Groceries,No,1,10000,10000,Cash
50547,10/22/2025, Kisumu ,Snacks,Short,20,1000,20000,cash
50148,24-10-2018, Kisumu ,Snacks,Dinner,1,1000,1000,cash
53760,9/11/1972,,groceries,Herself,50,10000,500000,Card
53174,5/7/2013,,Household,Any,20,1000,20000,Card
53152,1/5/2015,,Beverages,Whatever,50,10000,500000,Cash
52945,25-10-2025, Kisumu ,Personal Care,Record,1,1000,1000,Card
51446,9/23/2025, Kisumu ,Groceries,Husband,,250,,Card
50161,3/25/2025, Kisumu ,Household,According,1,100,100,M-Pesa
53569,3/11/2014, Kisumu ,Snacks,Simply,5,100,500,Cash
53517,2/12/2025,nakuru,Groceries,Catch,2,,,Card
51639,1/25/2026, Kisumu ,Groceries,Still,50,1000,50000,cash
53338,11/28/2025,,Personal Care,Relationship,,50,,cash
50522,3/16/2025,,Household,Report,2,10000,20000,Card
50161,12/7/2025,nakuru,groceries,Eight,20,1000,20000,Card
50622,17-05-2011,nakuru,groceries,What,1,250,250,cash
53435,9/8/2000,Nairobi,Personal Care,Fast,20,500,10000,M-Pesa
50708,28-03-1987,,Beverages,Range,50,,,cash
53503,10/12/2024, Kisumu ,Household,Space,1,10000,10000,cash
52883,6/28/2024,Nairobi,Snacks,Minute,10,1000,10000,Card
50446,1/28/2025, Kisumu ,Snacks,Picture,5,500,2500,Card
51574,12/18/2024,Mombasa,groceries,Dream,,10000,,Cash
52448,29-09-1988,Mombasa,Snacks,Investment,10,10000,100000,Cash
50721,3/7/2007,Mombasa,Snacks,Magazine,2,1000,2000,M-Pesa
53969,11/30/2024,,Household,Above,5,2000,10000,Cash
52967,5/15/2026,Nairobi,Snacks,Admit,10,2000,20000,M-Pesa
53818,10/1/1985, Kisumu ,Groceries,Leave,10,100,1000,Card
50643,19-08-1997, Kisumu ,Beverages,Least,5,500,2500,Cash
53278,12/22/2024,nakuru,Snacks,Chance,2,1000,2000,cash
50640,27-04-2023,,Beverages,Ok,2,50,100,Card
51324,20-08-2017,Mombasa,Personal Care,Special,2,2000,4000,M-Pesa
51141,30-07-2022,Mombasa,Personal Care,Culture,1,500,500,cash
53536,7/7/2025, Kisumu ,Household,According,1,1000,1000,cash
51153,1/27/2025,,Personal Care,Sort,,2000,,M-Pesa
53778,7/30/2025,Mombasa,Groceries,Wide,1,10000,10000,Card
53430,20-06-2012,,Snacks,Artist,,50,,M-Pesa
53345,24-01-2003,,Snacks,Kitchen,10,250,2500,M-Pesa
51620,24-05-2023,,groceries,Really,1,100,100,Card
52445,1/2/1990, Kisumu ,Beverages,Provide,5,10000,50000,Cash
51648,6/16/2025, Kisumu ,groceries,Decide,2,1000,2000,cash
53899,16-02-1979,nakuru,Personal Care,Charge,5,10000,50000,cash
50856,6/20/2025,,Personal Care,Right,2,250,500,cash
51765,10/24/2025,Mombasa,Household,Citizen,20,10000,200000,M-Pesa
50429,2/10/1973,,Snacks,Off,2,2000,4000,Cash
52949,2/2/2025,,Snacks,Above,5,100,500,cash
51263,27-02-2026,Mombasa,Household,We,20,2000,40000,M-Pesa
53918,25-10-2019,,Personal Care,Themselves,10,500,5000,Card
52503,3/1/1993,,Household,Imagine,10,250,2500,M-Pesa
52820,4/1/1982,Nairobi,Beverages,Strategy,20,1000,20000,M-Pesa
52711,15-09-2002,Mombasa,Household,Receive,10,100,1000,Card
51301,18-12-2004,Nairobi,Household,Begin,20,250,5000,Cash
51792,18-05-2007, Kisumu ,Beverages,Energy,20,100,2000,Cash
51968,6/28/2024,,Household,Between,5,100,500,Card
53488,17-12-1989,,Beverages,Few,1,10000,10000,M-Pesa
51942,12/23/2025,Mombasa,Personal Care,Reflect,50,500,25000,Cash
53695,23-02-2015,Nairobi,Household,Want,2,,,M-Pesa
52176,7/5/2017,,Beverages,Include,5,50,250,M-Pesa
50772,26-05-2018,Mombasa,Beverages,Deal,50,500,25000,Card
52713,18-02-2013,,Personal Care,Bag,5,500,2500,cash
53210,14-11-1987,Mombasa,Snacks,Truth,1,2000,2000,cash
53215,2/3/1981,Mombasa,Snacks,Budget,10,50,500,cash
51735,7/21/2024,Mombasa,Personal Care,Sound,10,2000,20000,cash
50653,8/17/2024,,Groceries,Knowledge,5,2000,10000,M-Pesa
51956,7/10/2024, Kisumu ,Beverages,We,20,250,5000,M-Pesa
50768,2/2/2025,Mombasa,Snacks,Base,1,500,500,Cash
52231,1/5/2026,,Snacks,Eight,2,500,1000,Card
53811,10/2/2025,,Groceries,Support,20,500,10000,cash
50813,14-02-1995, Kisumu ,Beverages,Doctor,20,,,Card
52869,7/29/2025,nakuru,Groceries,Onto,50,50,2500,M-Pesa
53193,30-03-1978,,groceries,By,20,10000,200000,M-Pesa
53565,6/28/2025,Mombasa,groceries,Study,5,,,Cash
52147,12/22/2024,Mombasa,Beverages,Prevent,,1000,,M-Pesa
50301,6/7/1979,,Beverages,Dinner,50,10000,500000,Cash
53159,4/10/1982,,Groceries,Style,,2000,,Cash
53213,26-10-2006,,Snacks,Them,1,50,50,M-Pesa
50151,11/11/1986, Kisumu ,Household,Hand,20,2000,40000,Card
53802,23-03-2010,,Household,Thus,50,2000,100000,Card
52833,27-06-1991,Nairobi,Household,Character,20,50,1000,M-Pesa
51286,13-09-2025,,Household,Million,1,10000,10000,Cash
50827,3/15/2025,Nairobi,Personal Care,Without,20,1000,20000,Card
53396,1/12/2026,Nairobi,Snacks,Close,1,100,100,Card
53207,22-10-1979,Mombasa,Snacks,Region,10,1000,10000,Cash
50318,6/28/2025,,groceries,Choose,5,10000,50000,cash
53931,21-07-2007,nakuru,Household,Interesting,50,,,Card
51697,12/1/1975,,Personal Care,Director,50,,,Cash
50078,11/24/2025,nakuru,Beverages,Character,10,,,cash
53147,9/11/2021,,Personal Care,Speak,2,1000,2000,Cash
50462,26-04-2014,,Personal Care,Board,2,100,200,Card
50127,9/25/2025,Nairobi,Beverages,Property,,250,,M-Pesa
52044,8/16/2025,,Beverages,Sit,10,100,1000,M-Pesa
53898,21-01-1976,,Snacks,End,50,500,25000,M-Pesa
53370,1/16/2025,,Personal Care,Reality,50,2000,100000,Cash
50585,7/12/2024, Kisumu ,Snacks,Structure,5,,,cash
53325,22-01-1971,nakuru,Personal Care,Often,20,50,1000,M-Pesa
52988,14-03-2008,Nairobi,Snacks,Price,1,50,50,Card
50371,28-02-2022,,Personal Care,Rate,50,100,5000,Card
52815,15-06-1976,nakuru,Personal Care,Personal,1,50,50,Card
53734,9/7/2006,nakuru,Snacks,Least,5,500,2500,Cash
51180,8/3/1985, Kisumu ,Personal Care,Fish,20,250,5000,Cash
51978,5/21/2026,Mombasa,Groceries,Back,2,1000,2000,Cash
53434,23-10-1972,,Personal Care,Memory,1,500,500,cash
53835,7/6/2020,Nairobi,Household,American,2,100,200,cash
53571,17-01-1971,nakuru,Household,First,10,500,5000,cash
